Indnum,Group,Activity,Units,Consumption,Quality_of_Life_Importance__1_10,Name of Resource Used,Amount of Resource Used per Unit
1,1,Household heating < 70F,hours,10.0,85.0,solar_powered__water_heater,1.0
2,2,wash-up,count,44.0,34.0,solar_powered__water_heater,1.0
3,2,shower - long (> 3 min),count,40.0,85.0,solar_powered__water_heater,1.0
3,2,wash-up,count,45.0,27.0,solar_powered__water_heater,1.0
5,3,use of clothes washer,count,7.0,41.0,solar_powered__water_heater,1.0
5,3,use of clothes dryer,count,1.0,21.0,solar_powered__water_heater,1.0
6,3,use of  oven,count,11.0,33.0,solar_powered__water_heater,1.0
7,1,Household heating => 70F,hours,5.0,85.0,solar_powered__water_heater,1.0
7,2,wash-up,count,37.0,44.0,solar_powered__water_heater,1.0
7,3,use of self-clean feature of electric oven,count,1.0,17.0,solar_powered__water_heater,1.0
9,1,Household heating < 70F,hours,6.0,89.0,solar_powered__water_heater,1.0
11,1,Household heating < 70F,hours,6.0,85.0,solar_powered__water_heater,1.0
12,3,use of clothes dryer,count,2.0,18.0,solar_powered__water_heater,1.0
12,3,use of self-clean feature of electric oven,count,2.0,15.0,solar_powered__water_heater,1.0
14,1,Household heating < 70F,count,5.0,61.0,solar_powered__water_heater,1.0
14,2,shower - short,count,4.0,97.0,solar_powered__water_heater,1.0
17,1,Household heating => 70F,hours,10.0,76.0,solar_powered__water_heater,1.0
22,1,Household heating < 70F,count,8.0,65.0,solar_powered__water_heater,1.0
27,1,Household heating => 70F,hours,6.0,85.0,solar_powered__water_heater,1.0
27,3,use of  oven,count,12.0,32.0,solar_powered__water_heater,1.0
28,2,wash-up,count,36.0,29.0,solar_powered__water_heater,1.0
30,3,use of clothes washer,count,6.0,29.0,solar_powered__water_heater,1.0
32,2,shower - long (> 3 min),count,31.0,73.0,solar_powered__water_heater,1.0
33,4,TV/computer use,count,58.0,27.0,solar_powered__water_heater,1.0
35,2,shower - long (> 3 min),count,11.0,75.0,solar_powered__water_heater,1.0
36,4,TV/computer use,count,61.0,21.0,solar_powered__water_heater,1.0
38,3,use of clothes washer,count,2.0,27.0,solar_powered__water_heater,1.0
43,3,use of  oven,count,10.0,38.0,solar_powered__water_heater,1.0
45,3,use of clothes washer,count,8.0,41.0,solar_powered__water_heater,1.0
46,3,use of  oven,count,11.0,32.0,solar_powered__water_heater,1.0
51,1,Use of air conditioner,hours,16.0,44.0,solar_powered__water_heater,1.0
52,3,use of  oven,count,11.0,32.0,solar_powered__water_heater,1.0
59,2,shower - short,count,6.0,95.0,solar_powered__water_heater,1.0
60,3,use of  oven,count,11.0,41.0,solar_powered__water_heater,1.0
63,3,use of clothes washer,count,7.0,39.0,solar_powered__water_heater,1.0
64,3,use of clothes washer,count,4.0,40.0,solar_powered__water_heater,1.0
64,3,use of clothes dryer,count,1.0,14.0,solar_powered__water_heater,1.0
65,1,Household heating < 70F,hours,3.0,85.0,solar_powered__water_heater,1.0
65,3,use of  oven,count,9.0,41.0,solar_powered__water_heater,1.0
66,3,use of self-clean feature of electric oven,count,4.0,21.0,solar_powered__water_heater,1.0
69,1,Household heating => 70F,hours,2.0,93.0,solar_powered__water_heater,1.0
69,3,use of self-clean feature of electric oven,count,1.0,21.0,solar_powered__water_heater,1.0
72,2,shower - long (> 3 min),count,25.0,72.0,solar_powered__water_heater,1.0
73,2,shower - long (> 3 min),count,26.0,76.0,solar_powered__water_heater,1.0
76,3,use of clothes washer,count,2.0,40.0,solar_powered__water_heater,1.0
78,4,TV/computer use,count,59.0,25.0,solar_powered__water_heater,1.0
80,1,Use of air conditioner,count,18.0,39.0,solar_powered__water_heater,1.0
84,3,use of clothes washer,count,6.0,48.0,solar_powered__water_heater,1.0
85,3,use of  oven,count,11.0,32.0,solar_powered__water_heater,1.0
87,2,shower - long (> 3 min),count,10.0,77.0,solar_powered__water_heater,1.0
87,2,wash-up,count,40.0,26.0,solar_powered__water_heater,1.0
89,2,wash-up,count,42.0,36.0,solar_powered__water_heater,1.0
89,3,use of clothes washer,count,7.0,41.0,solar_powered__water_heater,1.0
90,1,Household heating => 70F,count,10.0,86.0,solar_powered__water_heater,1.0
94,1,Household heating => 70F,count,4.0,67.0,solar_powered__water_heater,1.0
94,3,use of clothes dryer,count,2.0,20.0,solar_powered__water_heater,1.0
94,3,use of  oven,count,12.0,35.0,solar_powered__water_heater,1.0
96,1,Household heating < 70F,count,4.0,74.0,solar_powered__water_heater,1.0
96,2,wash-up,count,55.0,42.0,solar_powered__water_heater,1.0
102,4,TV/computer use,count,59.0,25.0,solar_powered__water_heater,1.0
103,1,Use of air conditioner,hours,17.0,54.0,solar_powered__water_heater,1.0
103,2,wash-up,count,54.0,44.0,solar_powered__water_heater,1.0
103,3,use of clothes washer,count,8.0,27.0,solar_powered__water_heater,1.0
104,2,shower - long (> 3 min),count,17.0,82.0,solar_powered__water_heater,1.0
104,4,TV/computer use,count,63.0,29.0,solar_powered__water_heater,1.0
105,1,Household heating < 70F,hours,6.0,89.0,solar_powered__water_heater,1.0
105,2,wash-up,count,44.0,44.0,solar_powered__water_heater,1.0
106,1,Use of air conditioner,count,18.0,49.0,solar_powered__water_heater,1.0
107,3,use of clothes washer,count,3.0,28.0,solar_powered__water_heater,1.0
108,3,use of self-clean feature of electric oven,count,3.0,13.0,solar_powered__water_heater,1.0
109,2,shower - short,count,3.0,96.0,solar_powered__water_heater,1.0
110,1,Use of air conditioner,count,12.0,38.0,solar_powered__water_heater,1.0
111,1,Use of air conditioner,hours,16.0,55.0,solar_powered__water_heater,1.0
112,4,TV/computer use,count,64.0,21.0,solar_powered__water_heater,1.0
115,1,Use of air conditioner,hours,32.0,51.0,solar_powered__water_heater,1.0
119,2,wash-up,count,46.0,41.0,solar_powered__water_heater,1.0
120,1,Use of air conditioner,count,19.0,44.0,solar_powered__water_heater,1.0
120,3,use of  oven,count,11.0,40.0,solar_powered__water_heater,1.0
121,2,shower - long (> 3 min),count,26.0,86.0,solar_powered__water_heater,1.0
122,2,wash-up,count,54.0,43.0,solar_powered__water_heater,1.0
124,2,shower - short,count,7.0,84.0,solar_powered__water_heater,1.0
128,1,Household heating < 70F,count,9.0,71.0,solar_powered__water_heater,1.0
131,1,Household heating < 70F,hours,4.0,76.0,solar_powered__water_heater,1.0
134,2,shower - long (> 3 min),count,27.0,73.0,solar_powered__water_heater,1.0
138,3,use of clothes washer,count,5.0,32.0,solar_powered__water_heater,1.0
139,2,shower - long (> 3 min),count,20.0,79.0,solar_powered__water_heater,1.0
144,3,use of  oven,count,10.0,33.0,solar_powered__water_heater,1.0
145,1,Use of air conditioner,hours,18.0,44.0,solar_powered__water_heater,1.0
145,4,TV/computer use,count,59.0,27.0,solar_powered__water_heater,1.0
146,3,use of dishwasher,count,17.0,20.0,solar_powered__water_heater,1.0
147,3,use of clothes dryer,count,2.0,21.0,solar_powered__water_heater,1.0
148,1,Household heating => 70F,count,5.0,73.0,solar_powered__water_heater,1.0
149,1,Household heating < 70F,hours,9.0,64.0,solar_powered__water_heater,1.0
149,2,shower - long (> 3 min),count,20.0,81.0,solar_powered__water_heater,1.0
151,3,use of clothes washer,count,2.0,29.0,solar_powered__water_heater,1.0
155,4,TV/computer use,count,63.0,31.0,solar_powered__water_heater,1.0
161,2,shower - long (> 3 min),count,38.0,76.0,solar_powered__water_heater,1.0
163,1,Use of air conditioner,hours,16.0,46.0,solar_powered__water_heater,1.0
165,3,use of clothes dryer,count,2.0,17.0,solar_powered__water_heater,1.0
169,2,shower - short,count,6.0,90.0,solar_powered__water_heater,1.0
171,4,TV/computer use,count,64.0,29.0,solar_powered__water_heater,1.0
174,2,shower - long (> 3 min),count,27.0,78.0,solar_powered__water_heater,1.0
175,2,wash-up,count,38.0,40.0,solar_powered__water_heater,1.0
180,3,use of  oven,count,11.0,41.0,solar_powered__water_heater,1.0
180,4,TV/computer use,count,60.0,25.0,solar_powered__water_heater,1.0
181,3,use of clothes dryer,count,2.0,15.0,solar_powered__water_heater,1.0
183,1,Household heating => 70F,hours,7.0,67.0,solar_powered__water_heater,1.0
183,4,TV/computer use,count,62.0,29.0,solar_powered__water_heater,1.0
185,2,wash-up,count,52.0,25.0,solar_powered__water_heater,1.0
186,2,wash-up,count,48.0,29.0,solar_powered__water_heater,1.0
187,4,TV/computer use,count,59.0,22.0,solar_powered__water_heater,1.0
190,3,use of  oven,count,12.0,33.0,solar_powered__water_heater,1.0
190,3,use of self-clean feature of electric oven,count,4.0,21.0,solar_powered__water_heater,1.0
191,2,shower - short,count,8.0,94.0,solar_powered__water_heater,1.0
191,4,TV/computer use,count,63.0,24.0,solar_powered__water_heater,1.0
193,3,use of clothes washer,count,3.0,43.0,solar_powered__water_heater,1.0
199,1,Household heating => 70F,hours,2.0,80.0,solar_powered__water_heater,1.0
200,2,wash-up,count,50.0,36.0,solar_powered__water_heater,1.0
201,2,shower - long (> 3 min),count,18.0,86.0,solar_powered__water_heater,1.0
202,2,shower - short,count,7.0,85.0,solar_powered__water_heater,1.0
204,2,shower - long (> 3 min),count,27.0,83.0,solar_powered__water_heater,1.0
204,3,use of clothes dryer,count,3.0,12.0,solar_powered__water_heater,1.0
206,2,shower - long (> 3 min),count,12.0,82.0,solar_powered__water_heater,1.0
206,2,wash-up,count,51.0,24.0,solar_powered__water_heater,1.0
206,3,use of clothes washer,count,4.0,37.0,solar_powered__water_heater,1.0
209,3,use of  oven,count,9.0,41.0,solar_powered__water_heater,1.0
209,4,TV/computer use,count,64.0,23.0,solar_powered__water_heater,1.0
210,3,use of  oven,count,11.0,31.0,solar_powered__water_heater,1.0
210,3,use of self-clean feature of electric oven,count,3.0,14.0,solar_powered__water_heater,1.0
212,4,TV/computer use,count,60.0,26.0,solar_powered__water_heater,1.0
215,2,bath,count,2.0,17.0,solar_powered__water_heater,1.0
219,2,wash-up,count,37.0,27.0,solar_powered__water_heater,1.0
221,2,shower - short,count,3.0,98.0,solar_powered__water_heater,1.0
226,1,Use of air conditioner,count,17.0,52.0,solar_powered__water_heater,1.0
