,Activity,Consumption,Group,Indnum,Quality_of_Life_Importance__1_10,Units,electric___off_peak_hours,electric___peak_hours,electric_water_heater___off_peak,electric_water_heater___peak_hou,gas,gas_water_heater,hybrid,jetfuel,natural_gas,solar_powered__water_heater
0,Household heating => 70F,2.0,1.0,1.0,88.0,hours,,,,,,,,,1.0,
1,Household heating => 70F,7.0,1.0,2.0,77.0,count,,,,,,,,,1.0,
2,Household heating => 70F,3.0,1.0,3.0,64.0,hours,,,,,,,,,1.0,
3,Household heating => 70F,10.0,1.0,4.0,93.0,count,,,,,,,,,1.0,
4,Household heating => 70F,8.0,1.0,5.0,80.0,hours,,,,,,,,,1.0,
5,Household heating => 70F,6.0,1.0,6.0,63.0,count,,,1.0,,,,,,1.0,
6,Household heating => 70F,5.0,1.0,7.0,85.0,hours,,,,,,,,,1.0,1.0
7,Household heating => 70F,4.0,1.0,8.0,79.0,count,,,,1.0,,,,,1.0,
8,Household heating => 70F,4.0,1.0,9.0,61.0,hours,,,,,,,,,1.0,
9,Household heating => 70F,6.0,1.0,10.0,67.0,count,,,,1.0,,,,,1.0,
10,Household heating => 70F,8.0,1.0,11.0,78.0,hours,,,,,,,,,1.0,
11,Household heating => 70F,3.0,1.0,12.0,84.0,count,,,,,,,,,1.0,
12,Household heating => 70F,1.0,1.0,13.0,80.0,hours,,,,,,,1.0,,1.0,
13,Household heating => 70F,5.0,1.0,14.0,86.0,count,,,,,,1.0,,,1.0,
14,Household heating => 70F,8.0,1.0,15.0,87.0,hours,,,,,,,,,1.0,
15,Household heating => 70F,5.0,1.0,16.0,62.0,count,,,,,,,,,1.0,
16,Household heating => 70F,10.0,1.0,17.0,76.0,hours,,,,,,,,,1.0,1.0
17,Household heating => 70F,10.0,1.0,18.0,71.0,count,,,,,,,,,1.0,
18,Household heating => 70F,3.0,1.0,19.0,92.0,hours,,,,,,,,,1.0,
19,Household heating => 70F,1.0,1.0,20.0,86.0,count,,,,,,,,,1.0,
20,Household heating => 70F,6.0,1.0,21.0,80.0,hours,,,,,,,,,1.0,
21,Household heating => 70F,5.0,1.0,22.0,90.0,count,,,,,,,,,1.0,
22,Household heating => 70F,3.0,1.0,23.0,79.0,hours,,,,,,,,,1.0,
23,Household heating => 70F,3.0,1.0,24.0,77.0,count,,1.0,,,,,,,1.0,
24,Household heating => 70F,2.0,1.0,25.0,66.0,hours,,,,,,,,,1.0,
25,Household heating => 70F,4.0,1.0,26.0,80.0,count,,,,,,,,,1.0,
26,Household heating => 70F,6.0,1.0,27.0,85.0,hours,,,,,,1.0,,,1.0,1.0
27,Household heating => 70F,4.0,1.0,28.0,75.0,count,,,,,,,,,1.0,
28,Household heating => 70F,4.0,1.0,29.0,91.0,hours,,,1.0,,,,,,1.0,
29,Household heating => 70F,5.0,1.0,30.0,88.0,count,,,1.0,1.0,,1.0,,,1.0,
30,Household heating => 70F,2.0,1.0,31.0,60.0,hours,,,,,,,,,1.0,
31,Household heating => 70F,7.0,1.0,32.0,70.0,count,,,,,,,,,1.0,
32,Household heating => 70F,8.0,1.0,33.0,79.0,hours,,,,,,,,,1.0,
33,Household heating => 70F,10.0,1.0,34.0,87.0,count,,,,,,,,,1.0,
34,Household heating => 70F,5.0,1.0,35.0,93.0,hours,,,,1.0,,,,,1.0,
35,Household heating => 70F,1.0,1.0,36.0,81.0,count,,,,1.0,,,,,1.0,
36,Household heating => 70F,8.0,1.0,37.0,65.0,hours,,,,,,,,,1.0,
37,Household heating => 70F,6.0,1.0,38.0,61.0,count,,,,,,,,,1.0,
38,Household heating => 70F,9.0,1.0,39.0,65.0,hours,,,,,,,,,1.0,
39,Household heating => 70F,3.0,1.0,40.0,86.0,count,,,,,1.0,,1.0,,1.0,
40,Household heating => 70F,6.0,1.0,41.0,90.0,hours,,,,,,,,,1.0,
41,Household heating => 70F,9.0,1.0,42.0,75.0,count,,,,1.0,,,,,1.0,
42,Household heating => 70F,3.0,1.0,43.0,66.0,hours,,,1.0,,,,,,1.0,
43,Household heating => 70F,5.0,1.0,44.0,65.0,count,,,,,,,,,1.0,
44,Household heating => 70F,9.0,1.0,45.0,84.0,hours,,,,,,,,,1.0,
45,Household heating => 70F,7.0,1.0,46.0,67.0,count,,,,,,,,,1.0,
46,Household heating => 70F,10.0,1.0,47.0,88.0,hours,,,,,,1.0,,,1.0,
47,Household heating => 70F,8.0,1.0,48.0,71.0,count,,,,,,1.0,,,1.0,
48,Household heating => 70F,4.0,1.0,49.0,79.0,hours,,,,,,,,,1.0,
49,Household heating => 70F,1.0,1.0,50.0,69.0,count,,1.0,,,,,,,1.0,
50,Household heating => 70F,8.0,1.0,51.0,61.0,hours,,,,1.0,,,,,1.0,
51,Household heating => 70F,2.0,1.0,52.0,63.0,count,,,,1.0,,,,,1.0,
52,Household heating => 70F,10.0,1.0,53.0,74.0,hours,,,,,,,,,1.0,
53,Household heating => 70F,8.0,1.0,54.0,60.0,count,,,,1.0,,,,,1.0,
54,Household heating => 70F,5.0,1.0,55.0,85.0,hours,,,,,,,,,1.0,
55,Household heating => 70F,2.0,1.0,56.0,91.0,count,,,,,,,,,1.0,
56,Household heating => 70F,6.0,1.0,57.0,67.0,hours,,,,,,,,,1.0,
57,Household heating => 70F,9.0,1.0,58.0,79.0,count,,,,,,1.0,,,1.0,
58,Household heating => 70F,9.0,1.0,59.0,80.0,hours,,,1.0,,,,,,1.0,
59,Household heating => 70F,9.0,1.0,60.0,71.0,count,,,,1.0,,,,,1.0,
